,open,high,low,close,volume,money
2015-01-15,3.7,3.88,3.67,3.85,823382561.0,3093536256.0
2015-01-16,3.88,3.99,3.86,3.9,1039591054.0,4073206016.0
2015-01-19,3.63,3.73,3.51,3.51,1311248908.0,4725213696.0
2015-01-20,3.53,3.59,3.43,3.51,856032630.0,3017983744.0
2015-01-21,3.54,3.77,3.51,3.72,1047504129.0,3797531392.0
2015-01-22,3.72,3.73,3.63,3.69,752633417.0,2770806784.0
2015-01-23,3.72,3.88,3.72,3.77,1231277920.0,4664106496.0
2015-01-26,3.76,3.78,3.66,3.73,703740038.0,2614900736.0
2015-01-27,3.73,3.73,3.55,3.62,930257818.0,3376429824.0
2015-01-28,3.58,3.61,3.52,3.55,728372900.0,2591288832.0
2015-01-29,3.49,3.51,3.43,3.45,763041339.0,2643394304.0
2015-01-30,3.47,3.5,3.41,3.44,554147174.0,1912726784.0
2015-02-02,3.39,3.39,3.32,3.34,671201161.0,2250689536.0
2015-02-03,3.37,3.41,3.31,3.41,741967766.0,2491369472.0
2015-02-04,3.41,3.43,3.33,3.34,613557469.0,2074139776.0
2015-02-05,3.47,3.49,3.32,3.33,1005386325.0,3426932736.0
2015-02-06,3.31,3.32,3.23,3.25,665505926.0,2182154752.0
2015-02-09,3.23,3.28,3.21,3.25,628293428.0,2036829440.0
2015-02-10,3.25,3.3,3.23,3.3,595922269.0,1950964736.0
2015-02-11,3.26,3.3,3.25,3.28,391520224.0,1282181760.0
2015-02-12,3.27,3.29,3.24,3.28,392881588.0,1282864128.0
2015-02-13,3.3,3.38,3.29,3.36,637482718.0,2127026560.0
2015-02-16,3.35,3.36,3.32,3.35,313265062.0,1047007232.0
2015-02-17,3.35,3.42,3.35,3.4,430157503.0,1460312064.0
2015-02-25,3.4,3.43,3.38,3.4,417642174.0,1421512192.0
2015-02-26,3.38,3.49,3.38,3.47,662135366.0,2273319424.0
2015-02-27,3.48,3.5,3.44,3.47,503583292.0,1747248000.0
2015-03-02,3.47,3.49,3.44,3.46,405911700.0,1403422848.0
2015-03-03,3.44,3.44,3.33,3.33,581250742.0,1964964736.0
2015-03-04,3.33,3.35,3.3,3.32,328282828.0,1091708160.0
2015-03-05,3.29,3.31,3.24,3.26,390204479.0,1275158912.0
2015-03-06,3.27,3.3,3.25,3.28,290053725.0,951291968.0
2015-03-09,3.3,3.45,3.26,3.42,696217742.0,2344408064.0
2015-03-10,3.38,3.39,3.34,3.35,452172531.0,1520247680.0
2015-03-11,3.35,3.42,3.35,3.38,421406556.0,1427555072.0
2015-03-12,3.42,3.52,3.4,3.46,879134381.0,3044381184.0
2015-03-13,3.49,3.53,3.43,3.46,668369229.0,2329716224.0
2015-03-16,3.47,3.5,3.44,3.48,517524460.0,1797078528.0
2015-03-17,3.5,3.51,3.48,3.5,600550526.0,2099251200.0
2015-03-18,3.5,3.59,3.5,3.58,820279497.0,2905011200.0
2015-03-19,3.58,3.59,3.53,3.55,684309318.0,2435866112.0
2015-03-20,3.54,3.62,3.52,3.57,788092884.0,2812444160.0
2015-03-23,3.62,3.64,3.59,3.62,706790465.0,2555339264.0
2015-03-24,3.64,3.69,3.6,3.63,1027300476.0,3728768000.0
2015-03-25,3.62,3.64,3.54,3.55,859716091.0,3088804608.0
2015-03-26,3.52,3.6,3.5,3.57,617562288.0,2191190016.0
2015-03-27,3.58,3.6,3.53,3.56,599892970.0,2139574400.0
2015-03-30,3.6,3.74,3.59,3.72,1502872525.0,5509450752.0
2015-03-31,3.78,3.79,3.65,3.68,1327471882.0,4946411008.0
2015-04-01,3.66,3.72,3.65,3.7,901686513.0,3322487296.0
2015-04-02,3.72,3.72,3.64,3.67,734484071.0,2697751296.0
2015-04-03,3.64,3.7,3.63,3.69,679336705.0,2495174400.0
2015-04-07,3.73,3.78,3.71,3.78,1138557802.0,4270348288.0
2015-04-08,3.79,3.82,3.72,3.81,1163111393.0,4397159424.0
2015-04-09,3.82,3.89,3.78,3.81,1158532983.0,4426962432.0
2015-04-10,3.79,3.88,3.78,3.86,910783382.0,3486315008.0
2015-04-13,3.92,4.03,3.92,4.03,1664100610.0,6605527552.0
2015-04-14,4.01,4.05,3.95,3.98,1009028269.0,4035741696.0
2015-04-15,3.98,4.24,3.97,4.11,1500620779.0,6130926080.0
2015-04-16,4.09,4.26,4.06,4.25,1247222702.0,5168773120.0
2015-04-17,4.33,4.36,4.25,4.27,1525732782.0,6557324288.0
2015-04-20,4.31,4.31,4.09,4.1,1868399369.0,7840590336.0
2015-04-21,4.09,4.13,4.03,4.12,1622411086.0,6613553152.0
2015-04-22,4.14,4.18,4.1,4.18,1240646893.0,5135954944.0
2015-04-23,4.19,4.19,4.11,4.15,1020025974.0,4226012160.0
2015-04-24,4.06,4.09,3.97,4.03,1052549715.0,4249846784.0
2015-04-27,4.03,4.16,4.03,4.16,1182294868.0,4866667520.0
2015-04-28,4.19,4.43,4.16,4.27,2034051125.0,8668592128.0
2015-04-29,4.22,4.22,4.12,4.19,974313747.0,4055593472.0
2015-04-30,4.16,4.18,4.09,4.09,816724224.0,3363326976.0
2015-05-04,4.08,4.1,4.06,4.08,575838053.0,2347049472.0
2015-05-05,4.08,4.08,3.87,3.89,1046819896.0,4154907904.0
2015-05-06,3.89,4.0,3.86,3.88,779380917.0,3058482176.0
2015-05-07,3.88,3.92,3.84,3.84,581586855.0,2251034880.0
2015-05-08,3.88,3.91,3.84,3.9,465689647.0,1805319936.0
